,x,y,facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,Country,country,capacity_tpa,commodity,value_tonnes,material,material_name,material_category,material_category_2,value_tonnes_material,input,output,input_value_tonnes,output_value_tonnes
1322,87.2425782669762,53.7766397761624,COM00925.00,Novokuznetsk Aluminium Smelter,Smelter,Processing,"Aluminium, Aluminium ingots, Aluminium T-bars, Aluminium billets",,Russian Federation,RU,215000.0,Me.Al,,,,,,,Alumina,Primary aluminium,,320000.0
1323,-101.224975524825,27.9215006305135,COM00926.00,Nueva Rosita Complex,Mine,Coal,"Coal, Metallurgical coke, coke, tar, ammonium sulfate, light crude oil","Open pit, underground, coke facility, coal washing plant",Mexico,MX,,,664100.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1324,-70.3121915,-28.5154263,COM00927.00,NuevaUnion,Mine,Other mine,"Copper, Molybdenum, Gold",,Chile,CL,,,,,,,,,,,,
1325,72.9777717,50.1604341,COM00928.00,Nurkazgan,Mine,Copper,"Copper, Gold, Silver",,Kazakhstan,KZ,,Me.Ag,5.14,O.Cu,Copper dominant ore,mineral,metal ore,3167000.0,,,,
1326,72.9777717,50.1604341,COM00928.00,Nurkazgan,Mine,Copper,"Copper, Gold, Silver",,Kazakhstan,KZ,,Me.Au,0.855,O.Cu,Copper dominant ore,mineral,metal ore,3167000.0,,,,
1327,72.9777717,50.1604341,COM00928.00,Nurkazgan,Mine,Copper,"Copper, Gold, Silver",,Kazakhstan,KZ,,Me.Cu,20446.2,O.Cu,Copper dominant ore,mineral,metal ore,3167000.0,,,,
1328,-87.1375845615216,33.4407818179812,COM00929.00,Oak Grove,Mine,Coal,Metallurgical coal,Underground,United States of America,US,,,2086560.0,F.coc,Coking Coal,ff_mineral,coal & peat,,,,,
1329,148.539409106964,-23.039098541011,COM00930.00,Oaky Creek,Mine,Coal,Metallurgical coal,Open pit,Australia,AU,,,10121000.0,F.coc,Coking Coal,ff_mineral,coal & peat,,,,,
1330,-1.6921037,6.172193,COM00932.00,Obuasi,Mine,Gold,Gold,Underground,Ghana,GH,,Me.Au,11.085,O.Au,Gold dominant ore,mineral,metal ore,6200000.0,,,,
1331,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,Zinc concentrate,,366000.0,
1332,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,,Aluminium fluoride,,36000.0
1333,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,,Cadmium,,371.0
1334,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,,Sulphuric acid,,128000.0
1335,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,,Zinc,,191000.0
1336,6.53249906550873,60.0929974644651,COM00933.00,Odda,Smelter,Processing,"Zinc, Zinc alloys",,Norway,NO,,,,,,,,,,,,
1337,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Ag,32.324,Con.Cu,Copper concentrate,other_product,ore concentrate,719863.0,,,,
1338,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Au,15.833,Con.Cu,Copper concentrate,other_product,ore concentrate,719863.0,,,,
1339,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Cu,211313.0,Con.Cu,Copper concentrate,other_product,ore concentrate,719863.0,,,,
1340,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Ag,42.181,O.Cu,Copper dominant ore,mineral,metal ore,28594000.0,,,,
1341,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Au,16.264,O.Cu,Copper dominant ore,mineral,metal ore,28594000.0,,,,
1342,141.137579339625,-5.9342024008767,COM00934.00,Ok Tedi,Mine,Copper,"Copper, Gold, Silver",Open pit,Papua New Guinea,PG,,Me.Cu,195655.0,O.Cu,Copper dominant ore,mineral,metal ore,28594000.0,,,,
1343,86.257419710951,54.5738156326127,COM00935.00,Oktyabrskaya,Mine,Coal,Coal,,Russian Federation,RU,,,2728000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1344,33.2054282441252,68.1476784039883,COM00936.00,Olcon,Mine,Iron,"Iron, Iron ore concentrate, Ferrite Strontium Powder","Open pit, Underground",Russian Federation,RU,,,,,,,,,,,,
1345,136.870109008325,-30.4464278902638,COM00937.00,Olympic Dam,"Mine, Refinery, Smelter",Copper,"Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver","Underground, Flash Furnace, SX-EW, Grinding circuits",Australia,AU,10300000.0,Me.Ag,30.233,O.bulk,Bulk metal ore,mineral,metal ore,10330000.0,,,,
1346,136.870109008325,-30.4464278902638,COM00937.00,Olympic Dam,"Mine, Refinery, Smelter",Copper,"Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver","Underground, Flash Furnace, SX-EW, Grinding circuits",Australia,AU,10300000.0,Me.Au,3.774,O.bulk,Bulk metal ore,mineral,metal ore,10330000.0,,,,
1347,136.870109008325,-30.4464278902638,COM00937.00,Olympic Dam,"Mine, Refinery, Smelter",Copper,"Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver","Underground, Flash Furnace, SX-EW, Grinding circuits",Australia,AU,10300000.0,Me.U3O8,5097.6,O.bulk,Bulk metal ore,mineral,metal ore,10330000.0,,,,
1348,136.870109008325,-30.4464278902638,COM00937.00,Olympic Dam,"Mine, Refinery, Smelter",Copper,"Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver","Underground, Flash Furnace, SX-EW, Grinding circuits",Australia,AU,10300000.0,Oth.cuca,204300.0,O.bulk,Bulk metal ore,mineral,metal ore,10330000.0,,,,
