Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
SMX00003,Deacero Celaya steel plant,Mexico,exact,operating,1998,25,2300,,2300,,,,,,,,,semi-finished; finished rolled,electric,MX,20.518556, -100.925556
SMX00004,Gerdau Corsa Ciudad Sahagún steel plant,Mexico,exact,operating,2015,8,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,MX,19.753326, -98.596483
SMX00002,ArcelorMittal Lázaro Cárdenas steel plant,Mexico,exact,operating,1976,47,5700,1700,4000,,4651.905626134301,1451.905626,3200,,,,4000,semi-finished; finished rolled,integrated (BF and DRI),MX,17.930688, -102.201498
SMX00011,Ternium Apodaca steel plant,Mexico,exact,operating,1993,30,600,,600,,,,,,,,,semi-finished; finished rolled,electric,MX,25.742085, -100.236478
SMX00006,Ternium Guerrero San Nicolás de los Garza steel plant,Mexico,exact,operating,1943,80,2400,,2400,,1730,,1730,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),MX,25.720327, -100.301175
SMX00005,Ternium Puebla steel plant,Mexico,exact,operating,1969,54,1330,,1330,,930,,930,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),MX,19.169532, -98.318659
SMX00013,Grupo Acerero steel plant,Mexico,exact,operating,2004,19,750,,750,,,,,,,,,semi-finished; finished rolled,electric,MX,22.087328, -100.901902
SMX00014,Acero Simec San Luis steel plants,Mexico,exact,operating,1966,57,660,,660,,,,,,,,,semi-finished; finished rolled,electric,MX,22.103324, -100.919202
SMX00012,Gerdau Tultitlán (Sidertul) steel plant,Mexico,exact,operating,1984,39,500,,500,,,,,,,,,semi-finished; finished rolled,electric,MX,19.630355, -99.180315
SMX00010,Acero Simec Apizaco steel plant,Mexico,exact,operating,2018,5,650,,650,,,,,,,,,semi-finished; finished rolled,electric,MX,19.395628, -98.088777
SMX00009,TYASA steel plant,Mexico,exact,operating,1993,30,1650,,1650,,,,,,,,,semi-finished; finished rolled,electric,MX,18.869272, -97.047263
SMX00008,TenarisTamsa Veracruz steel plant,Mexico,exact,operating,1954,69,1200,,1200,,,,,,,,,finished rolled,electric,MX,19.182499, -96.237284
SUS00016,SSAB Americas Alabama steel plant,United States,exact,operating,2001,22,1250,,1250,,,,,,,,,semi-finished,electric,US,30.941783, -88.012437
SUS00075,CMC Alabama steel plant,United States,exact,operating,1994,29,653,,653,,,,,,,,,finished rolled,electric,US,33.534372, -86.75773
SUS00037,Outokumpu Stainless USA steel plant,United States,exact,operating,2007,16,1000,,1000,,,,,,,,,crude; semi-finished; finished rolled,electric,US,31.148179, -87.988660
SUS00048,U.S. Steel Fairfield plant,United States,exact,operating,2020,3,1600,,1600,,,,,,,,,semi-finished; finished rolled,electric,US,33.480697, -86.937854
