TerminalID;ProjectID;ComboID;Country;Region;Wiki;TerminalName;UnitName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Import/Export;Capacity;CapacityUnits;CapacityInMtpa;Location;Prefecture/District;State/Province;Latitude;Longitude;Accuracy;Floating;FID;FIDYear;OtherLanguageName;PowerPlantsSupplied;OtherLanguageWikiPage
T0286;2;T028602;Indonesia;SE Asia;https://www.gem.wiki/Tangguh_LNG_Terminal;Tangguh LNG Terminal;T2;;Tangguh LNG [900.00%];"BP [40.20%]; China National Offshore Oil Corporation [13.90%]; Other [10.20%]; Mitsubishi [9.90%]; INPEX [7.80%]; ENEOS Holdings [7.50%]; Sumitomo Corporation [7.50%]; Sojitz Corporation [3.70%]; Mitsui Group [3.20%]";Operating;2009;;;;Export;3.8;mtpa;3.8;Teluk Bintuni;Bintuni Bay;West Papua ;-2.44314;133.139;exact;;;;;;
T0286;3;T028603;Indonesia;SE Asia;https://www.gem.wiki/Tangguh_LNG_Terminal;Tangguh LNG Terminal;T3;;Tangguh LNG [900.00%];"BP [40.20%]; China National Offshore Oil Corporation [13.90%]; Other [10.20%]; Mitsubishi [9.90%]; INPEX [7.80%]; ENEOS Holdings [7.50%]; Sumitomo Corporation [7.50%]; Sojitz Corporation [3.70%]; Mitsui Group [3.20%]";Construction;2022;;;;Export;3.8;mtpa;3.8;Teluk Bintuni;Bintuni Bay;West Papua ;-2.44314;133.139;exact;;;;;;
T0287;0;T028700;Malaysia;SE Asia;https://www.gem.wiki/Lahad_Datu_Sabah_LNG_Terminal;Lahad Datu Sabah LNG Terminal;;;"Petronas [80.00%]; Sabah Energy [20.00%]";"Petronas [80.00%]; Sabah Energy [20.00%]";Cancelled;;;;;Import;0.76;mtpa;0.76;Lahad Datu;Tawau;Sabah;5.03;118.34;approximate;;;;;;
T0288;1;T028801;Malaysia;SE Asia;https://www.gem.wiki/Satu_FLNG_Terminal;Satu FLNG Terminal;;PFLNG Satu;Petronas [100.00%];Petronas [100.00%];Operating;2017;;;;Export;1.2;mtpa;1.2;Bintulu;;Sarawak;7.375718;115.480022;approximate;yes;;;;;
T0289;1;T028901;Malaysia;SE Asia;https://www.gem.wiki/Dua_FLNG_Terminal;Dua FLNG Terminal;;Sabah FLNG Terminal, PFLNG Dua, PFLNG-2, Rotan FLNG Project;Petronas [100.00%];Petronas [100.00%];Operating;2021;;;;Export;1.5;mtpa;1.5;Rotan gas field;;Sabah;12;113;approximate;yes;FID;2014;;;
T0290;0;T029000;Malaysia;SE Asia;https://www.gem.wiki/Melaka_FSRU;Melaka FSRU;;Malacca FLNG, Re-gasification Terminal (RGT) Sungai Udang;Petronas [100.00%];Petronas [100.00%];Operating;2013;;;;Import;3.8;mtpa;3.8;Sungei Udang Port;Central Malacca;Kuala Lumpur;2.2444375;102.1234396;exact;yes;FID;2012;;;
T0291;0;T029100;Malaysia;SE Asia;https://www.gem.wiki/Pengerang_Johur_LNG_Terminal;Pengerang Johor LNG Terminal;;;"Petronas [65.00%]; Dialog Group [25.00%]; Government of Johor [10.00%]";"Petronas [65.00%]; Dialog Group [25.00%]; Government of Johor [10.00%]";Operating;2017;;;;Import;3.5;mtpa;3.5;Pengerang;;Johor;1.341382;104.182089;exact;;;;;;
T0292;1;T029201;Malaysia;SE Asia;https://www.gem.wiki/Dua_Malaysia_LNG_Terminal;Dua Malaysia LNG Terminal;T1;Petronas Bintulu LNG Complex;"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";Operating;1995;;;;Export;3.2;mtpa;3.2;Bintulu;;Sarawak;3.28238;113.083;exact;;;;;;
T0292;2;T029202;Malaysia;SE Asia;https://www.gem.wiki/Dua_Malaysia_LNG_Terminal;Dua Malaysia LNG Terminal;T2;Petronas Bintulu LNG Complex;"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";Operating;1995;;;;Export;3.2;mtpa;3.2;Bintulu;;Sarawak;3.28238;113.083;exact;;;;;;
T0292;3;T029203;Malaysia;SE Asia;https://www.gem.wiki/Dua_Malaysia_LNG_Terminal;Dua Malaysia LNG Terminal;T3;Petronas Bintulu LNG Complex;"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";"Petronas [80.00%]; Government of Sarawak [10.00%]; Mitsubishi [10.00%]";Operating;1995;;;;Export;3.2;mtpa;3.2;Bintulu;;Sarawak;3.28238;113.083;exact;;;;;;
